trial_id,score,mean_pnl,total_pnl,mean_sharpe,mean_fills,mean_fill_rate,n_days,n_errors,param_gamma,param_glft_kappa,param_min_spread_bps,param_max_inventory
65,41.35894353333424,41.35894353333424,620.3841530000136,1.6856166627965576,9701.666666666666,0.238155417458005,15,0,218.94289191269638,1087.766226105529,8.861405034628255,72.62340511398293
116,37.8258256666689,37.8258256666689,567.3873850000334,3.8224571484454017,12510.4,0.24874365238765753,15,0,3016.029289698153,9763.906053575602,8.67180601639961,28.192822373131197
131,36.71919113333324,36.71919113333324,550.7878669999986,1.4385494265158418,10470.6,0.26718642402242304,15,0,348.6319500632626,1727.497044609354,7.889284387424249,77.53072671552364
58,35.62880986666901,35.62880986666901,534.4321480000351,1.4382081216000129,9327.2,0.256865712951307,15,0,119.6768487189254,556.891626158609,7.853919028295111,76.44105815472224
96,34.21312960000357,34.21312960000357,513.1969440000536,2.661029113648953,11032.133333333333,0.24654583160901017,15,0,159.3319796805301,542.8477819072895,7.490824747885975,36.65990562576876
24,33.99964433333202,33.99964433333202,509.99466499998033,1.8493855910344208,5500.466666666666,0.12072131988397916,15,0,76.42211988218928,499.99937497179184,5.231248855104809,55.65486329438757
7,32.6822594666646,32.6822594666646,490.23389199996893,1.2131226230395138,5386.0,0.13392505847783562,15,0,74.64592828724473,446.5335762740013,4.552523669730693,80.16891691348272
106,30.959684600000138,30.959684600000138,464.3952690000021,3.2575162482947166,12559.4,0.23302184057269087,15,0,560.9262643946506,1453.7670450618602,8.851320120762345,23.11235955976672
95,29.96290020000013,29.96290020000013,449.44350300000195,2.2751081409903864,5519.133333333333,0.11993195717567483,15,0,77.13867449773998,439.14827128194105,8.951273582594238,38.473780446259454
40,28.34369453333354,28.34369453333354,425.1554180000031,0.8795041986283553,9666.0,0.23384478571798822,15,0,118.99852115562386,670.2525039882106,6.525500740562686,97.5079142001663
127,24.35962493333574,24.35962493333574,365.3943740000361,2.3343918544661326,9352.466666666667,0.1724688000428233,15,0,231.1361576076951,1369.21698294501,6.776470352358475,29.830607492302814
30,23.855563266666383,23.855563266666383,357.83344899999577,1.5217228651119683,4009.0,0.04043865547535038,15,0,77.63017498376487,1165.7747152079464,8.947234808887046,47.51873236830257
47,22.865271000000426,22.865271000000426,342.9790650000064,2.209026648370744,3874.266666666667,0.037797121941562546,15,0,81.27795695480496,1245.2066277968072,8.988639252588062,31.246939506698634
104,21.63270866666682,21.63270866666682,324.4906300000023,2.5658689029264132,5218.866666666667,0.0580748483072997,15,0,111.15169941995431,1359.1002308188217,7.863063484707272,25.213363265378817
60,20.351603200001694,20.351603200001694,305.2740480000254,0.8148629864820085,7028.6,0.09380029121513088,15,0,121.48436062971301,1307.1475287759827,4.848429111928336,77.0005557900166
138,19.87736913333402,19.87736913333402,298.1605370000103,2.0544155354983547,4350.933333333333,0.042591663415588864,15,0,118.65625395531129,1781.3034256267974,7.092371794016868,29.760506506267888
124,17.766314133334195,17.766314133334195,266.4947120000129,1.1767511488542124,8206.866666666667,0.12628982043793127,15,0,145.87990649088326,1221.9648198872862,6.140103392757123,46.1538540399906
79,17.202697133335437,17.202697133335437,258.04045700003155,0.6225464187950105,5836.866666666667,0.068358299358733,15,0,84.35944434646191,1102.3764367377808,5.988757462267388,93.17286859539122
114,17.153781133335375,17.153781133335375,257.30671700003063,1.0774493419432478,10569.533333333333,0.20544815272013936,15,0,929.3974378090005,5552.188438444082,5.23731943844,48.61300179479362
56,14.323064733334105,14.323064733334105,214.8459710000116,1.7134753719889486,7510.933333333333,0.09367421471964536,15,0,422.99917381987035,4087.847953504423,5.761893235823955,24.697985036346182
43,13.529282999999563,13.529282999999563,202.93924499999343,0.4639310960427822,8776.466666666667,0.1581459514106141,15,0,165.31482125164388,1300.841819220337,4.535551619562243,92.41423126788823
54,13.516335866667351,13.516335866667351,202.74503800001025,1.1483478790431458,5967.6,0.062059274889648706,15,0,460.5519566351269,6129.748666631604,5.980133091072111,36.4842743253722
15,12.471615866667127,12.471615866667127,187.07423800000691,0.7070388031724715,4257.866666666667,0.038513232105069045,15,0,64.52507895773124,1137.250705048799,4.096554056735933,61.130091143381556
34,12.346851800001078,12.346851800001078,185.20277700001617,0.9164605415710498,4758.666666666667,0.04333412865876282,15,0,460.4480251731896,7680.247115135447,5.0002323205998405,43.75792983339185
85,10.921516666667314,10.921516666667314,163.8227500000097,1.2403784020486073,3053.9333333333334,0.024385519396216148,15,0,65.30687408913784,1363.2932107070483,6.820255898777707,27.845694436768706
37,10.727724066667662,10.727724066667662,160.91586100001493,0.9642925279956496,8278.066666666668,0.1839081813006014,15,0,119.43824582555777,318.5707416532527,4.814679162238182,39.671456649135486
66,8.867353800000558,8.867353800000558,133.01030700000837,0.6176561913313495,1385.8666666666666,0.009351698801824857,15,0,109.29277992156656,3765.03605231669,8.402203211999606,50.80737991826224
55,8.83777073333493,8.83777073333493,132.56656100002394,0.3982584825199833,3341.866666666667,0.026677532658832416,15,0,160.38642016120932,3579.134786962331,5.860299256330334,87.36215938133086
25,7.803527800000092,7.803527800000092,117.05291700000137,0.5170022267136641,1176.5333333333333,0.00786034479313837,15,0,78.26865065731099,2894.4141599677437,8.860468337969378,53.223455111294854
148,7.535471466667317,7.535471466667317,113.03207200000975,0.6874655716561037,1345.0666666666666,0.009046507707374368,15,0,78.17187716962312,2683.9903478710853,8.466669759505649,36.65009035020675
89,7.206550266666453,7.206550266666453,108.0982539999968,0.5437383438420296,8400.666666666666,0.11861614848809914,15,0,330.9415441665321,2954.3374305329025,4.437935158345847,42.945910702328604
1,6.525182400000463,6.525182400000463,97.87773600000695,0.4162996391966803,1840.3333333333333,0.012619540346037966,15,0,62.99182676231567,1999.875934902405,4.719666106976805,57.002580386327004
17,6.117220000000175,6.117220000000175,91.75830000000262,0.8773396931269714,1166.4666666666667,0.0076661066587118114,15,0,191.56407155108673,6998.473169703822,8.72871804459065,21.820685944658464
38,5.241444066666147,5.241444066666147,78.6216609999922,0.42093426344883994,8844.933333333332,0.3469402298405825,15,0,254.33502281516385,882.9036923586024,7.540651718635051,96.68765689181944
112,4.61535566666728,4.61535566666728,69.23033500000919,0.22963000072940373,1257.0666666666666,0.00835606579973216,15,0,168.87232095692468,6620.614158984244,5.877595912158983,86.47466612325474
41,3.4263122666665433,3.4263122666665433,51.39468399999815,0.2371837780778612,11906.0,0.24791974265829725,15,0,977.2329978968368,4681.766528174724,4.443471116129764,50.273762961864136
97,2.779746199999992,2.779746199999992,41.69619299999988,0.1247082767322135,1157.8,0.007763409703222562,15,0,50.45446024458361,1986.8111134474284,6.6941505673453605,91.29237763663517
134,2.1969390666668414,2.1969390666668414,32.95408600000262,0.2786935921392825,695.6666666666666,0.004402364238173024,15,0,59.73777256736159,2916.5154575152424,5.117840512745329,28.891430992317552
141,2.11972093333349,2.11972093333349,31.795814000002352,0.22053694033370425,2494.0,0.017767757827167285,15,0,95.46577268474945,2623.346084509485,4.006575336955669,44.1547511767492
29,1.411357666664055,1.411357666664055,21.170364999960825,0.06795399459941484,10281.066666666668,0.3377477124860588,15,0,347.85290335995245,1335.6001157270825,4.042399997447839,98.62862298177805
67,-6.256645999998484,-6.256645999998484,-93.84968999997726,0.08373408013235932,10627.733333333334,0.2534161450594745,15,0,266.96962001413914,569.8816861381212,6.73615371651068,28.12004698971436
118,-11.05247820000205,-11.05247820000205,-165.78717300003075,0.07056389559706634,5598.466666666666,0.20082629813166383,15,0,104.18823088462652,308.0651795127793,4.872002725281974,67.02474853483957
117,-15.310529866664174,-15.310529866664174,-229.6579479999626,-0.09863783990936377,9349.666666666666,0.3500110794677043,15,0,531.5381056066839,1764.0004607675446,5.221608278044583,87.28724372216749
18,-16.40204946666138,-16.40204946666138,-246.03074199992074,-0.06029536517537028,9556.133333333333,0.34142977772370153,15,0,316.1561584316062,1068.731022318019,5.328090177090878,84.63168411463914
31,-18.943595333331267,-18.943595333331267,-284.153929999969,-0.1509275586262939,8756.533333333333,0.3167418459803636,15,0,267.3416678137072,715.1715459563426,6.820739082363843,56.8769486532582
9,-19.088435066663635,-19.088435066663635,-286.3265259999545,-0.09764227481557107,8867.2,0.33561445432216336,15,0,215.0888174607681,715.4313275685349,4.809687571454029,85.6977772674625
